q,n,predicted,observed,split
0,18410,0.04200352543428726,0.0378598587724063,train
1,18409,0.0665453621340289,0.06589168341572058,train
2,18409,0.08461229999041746,0.08517572926286056,train
3,18410,0.10050595069847375,0.09858772406300924,train
4,18409,0.11612294297531346,0.11673637894508121,train
5,18409,0.1323713867339326,0.13580313976859146,train
6,18410,0.1500262489886098,0.15551330798479088,train
7,18409,0.1708380025377896,0.1737736976478896,train
8,18409,0.1990677435241609,0.20147753816068228,train
9,18410,0.25706838150975964,0.2483432916892993,train
0,7890,0.04206553960139038,0.040430925221799745,test
1,7890,0.06646862784079466,0.06920152091254753,test
2,7890,0.08440544622197002,0.08833967046894804,test
3,7889,0.10049724537956178,0.10508302699961973,test
4,7890,0.11634748161616656,0.11634980988593156,test
5,7890,0.13294315824912975,0.13599493029150825,test
6,7889,0.15090461693928445,0.15325136265686398,test
7,7890,0.17177847383015066,0.16577946768060836,test
8,7890,0.19970552602160133,0.20126742712294043,test
9,7890,0.2564608421816338,0.24347275031685678,test
0,28303,0.040802854085158435,0.041727025403667455,oot
1,28303,0.06498626828865113,0.0745857329611702,oot
2,28302,0.08272521864739578,0.09727227757755635,oot
3,28303,0.09874601501802673,0.11800869165812812,oot
4,28302,0.11441798983364142,0.13122747509009963,oot
5,28303,0.13085296671261434,0.15457725329470373,oot
6,28302,0.14888331781426295,0.17189597908275034,oot
7,28303,0.17029822318593726,0.1961276189803201,oot
8,28302,0.19883202926008237,0.22433043601158928,oot
9,28303,0.2565639220508454,0.2788750309154507,oot
