feature,coefficient,std_err,p_value,univariate_dir,model_dir,sign_ok,significant
fico,-0.607309921616658,0.02489363235032906,1.8768182503179802e-131,-,-,True,True
annual_inc,-0.47130056226636147,0.028919348464101893,1.03542884487279e-59,-,-,True,True
total_bc_limit,-0.2493346542173748,0.031721128877020555,3.83497725748546e-15,-,-,True,True
avg_cur_bal,-0.386350277770303,0.03888600800794647,2.9183336620324324e-23,-,-,True,True
dti,-0.7282143967533167,0.03203257834455246,2.0872957123392353e-114,-,-,True,True
mort_acc,-0.09211898447577366,0.046036079077532384,0.04539054004172204,-,-,True,True
home_ownership,-0.2244807102621006,0.04739152639977851,2.171977131820738e-06,-,-,True,True
percent_bc_gt_75,-0.4355497752934559,0.04818707327976568,1.5850762745822544e-19,-,-,True,True
mo_sin_rcnt_tl,-0.742162814894281,0.03977040372048725,1.0243650054077866e-77,-,-,True,True
mo_sin_old_rev_tl_op,-0.4217212360295204,0.03925918040134531,6.464460961676713e-27,-,-,True,True
inq_last_6mths,-0.7805880459534154,0.04433089944968667,2.1305543645458204e-69,-,-,True,True
revol_util,-0.16582543349141773,0.06999027464820747,0.01782352911932802,-,-,True,True
