name,dtype,status,n_bins,iv,js,quality_score,flag
fico,numerical,OPTIMAL,8,0.1391006015695873,0.016959492903069712,0.5133924373225437,
annual_inc,numerical,OPTIMAL,8,0.093709589453524,0.01162002862600505,0.3638486153114808,
total_bc_limit,numerical,OPTIMAL,8,0.07587468302920805,0.009375742473611014,0.28615403294399927,
avg_cur_bal,numerical,OPTIMAL,8,0.07561586019608499,0.009350161796696493,0.2896476054165663,
dti_with_loan,numerical,OPTIMAL,8,0.07326129905028529,0.009100876565997045,0.2876716069331305,
tot_cur_bal,numerical,OPTIMAL,7,0.06526006203588985,0.008090789575102713,0.21795436352297487,
dti,numerical,OPTIMAL,8,0.05334046396982496,0.006640762988605078,0.19458077235278431,
mort_acc,numerical,OPTIMAL,6,0.04939167613808896,0.006155182656207021,0.06267922116004696,
bal_to_bc_limit,numerical,OPTIMAL,8,0.047080225726903874,0.00585777317043426,0.08743607368998657,
loan_to_income,numerical,OPTIMAL,8,0.04242247421809159,0.00528360535633032,0.00870012546544484,
home_ownership,categorical,OPTIMAL,3,0.041128127045731364,0.0051313613375377695,0.12366339198718758,
percent_bc_gt_75,numerical,OPTIMAL,7,0.03797691138957385,0.004733177773079362,0.11595195825683988,
mo_sin_rcnt_tl,numerical,OPTIMAL,8,0.03785202724358223,0.0047118900501301,0.14178643858369663,
mo_sin_old_rev_tl_op,numerical,OPTIMAL,8,0.03749649672366814,0.004666713790407449,0.04459940935191295,
inq_intensity,numerical,OPTIMAL,6,0.03588169303678431,0.004468563057422827,0.10842253125679989,
inq_last_6mths,numerical,OPTIMAL,4,0.02791280218369522,0.0034813655837033696,0.08526818522993854,
credit_hist_months,numerical,OPTIMAL,8,0.024360820872814014,0.0030374580896501617,0.02222816947315907,
revol_bal,numerical,OPTIMAL,8,0.021029038441938826,0.002618900785795279,0.008074124403978183,
revol_util,numerical,OPTIMAL,8,0.020558866461778107,0.00256187130042277,0.053563653193276564,
emp_length_num,numerical,OPTIMAL,6,0.01990943444314588,0.002473707803865953,0.0003302582122925499,WEAK - drop
purpose,categorical,OPTIMAL,4,0.019090630864960434,0.0023806473670071734,0.05464785317377841,WEAK - drop
acct_velocity,numerical,OPTIMAL,8,0.018274236119785306,0.00228031406759313,0.018901465234733003,WEAK - drop
addr_state,categorical,OPTIMAL,8,0.01542238896105916,0.0019244561747473654,0.033261621789122266,WEAK - drop
bc_limit_to_income,numerical,OPTIMAL,8,0.012822439350484886,0.0015999922812405035,0.019363748342779503,WEAK - drop
loan_amnt,numerical,OPTIMAL,3,0.011464735915597575,0.0014318435140164149,0.03552144104837115,BELOW FLOOR - force kept
total_acc,numerical,OPTIMAL,8,0.01068022344262105,0.0013336578438550345,0.0039875662686180546,WEAK - drop
verification_status,categorical,OPTIMAL,3,0.009327657678169511,0.0011653377345434797,0.02878314595185163,WEAK - drop
num_actv_bc_tl,numerical,OPTIMAL,5,0.004360833208711716,0.0005443661164697209,0.009536776072545326,WEAK - drop
mths_since_last_record,numerical,OPTIMAL,2,0.002388724633668332,0.0002984074796181847,0.003789699317205308,WEAK - drop
pub_rec,numerical,OPTIMAL,2,0.0019203420299332803,0.0002399644332659115,0.0029292051494595648,WEAK - drop
delinq_2yrs,numerical,OPTIMAL,3,0.0016475211091567556,0.00020577218700729833,0.0020753137156943107,WEAK - drop
mths_since_last_delinq,numerical,OPTIMAL,4,0.0014804110548238053,0.00018495598581765865,0.001134256162576989,WEAK - drop
pub_rec_bankruptcies,numerical,OPTIMAL,2,0.0014060015586496006,0.00017569112867063443,0.0017344406042269257,WEAK - drop
pct_tl_nvr_dlq,numerical,OPTIMAL,2,0.0008089295134943211,0.00010111138052825679,0.002027234885279732,WEAK - drop
initial_list_status,categorical,OPTIMAL,2,0.0006244636623472246,7.805554777453498e-05,0.0016630872245967097,WEAK - drop
num_tl_90g_dpd_24m,numerical,OPTIMAL,2,0.0005375137111621905,6.716675178926887e-05,0.0003223804201236884,WEAK - drop
open_acc,numerical,OPTIMAL,4,0.0004516580880764803,5.644393466056619e-05,0.0002615475056732439,WEAK - drop
acc_now_delinq,numerical,OPTIMAL,1,0.0,0.0,0.0,WEAK - drop
application_type,categorical,OPTIMAL,1,0.0,0.0,0.0,WEAK - drop
collections_12_mths_ex_med,numerical,OPTIMAL,1,0.0,0.0,0.0,WEAK - drop
tot_coll_amt,numerical,OPTIMAL,1,0.0,0.0,0.0,WEAK - drop
