number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,state
0,0.6679978663917493,2026-08-17 00:42:57.596341,2026-08-17 00:43:09.644807,0 days 00:00:12.048466,0.8,0.0001,0.05,5,50,0.0001,2.0,0.8,"{'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 50, 'reg_lambda': 2.0, 'reg_alpha': 0.0001, 'gamma': 0.0001}",COMPLETE
1,0.6658670120630716,2026-08-17 00:43:09.646820,2026-08-17 00:43:19.632334,0 days 00:00:09.985514,0.8394633936788146,0.29154431891537513,0.08927180304353628,5,15,0.0001707396743152812,0.2051110418843398,0.892797576724562,,COMPLETE
2,0.6655878296387419,2026-08-17 00:43:19.632334,2026-08-17 00:43:28.576686,0 days 00:00:08.944352,0.9879639408647978,0.0005415244119402539,0.051059032093947576,6,120,0.000533703276260396,0.26587543983272705,0.608233797718321,,COMPLETE
3,0.6687854022116296,2026-08-17 00:43:28.576686,2026-08-17 00:44:19.718994,0 days 00:00:51.142308,0.7164916560792167,0.002920433847181412,0.03347776308515933,4,61,0.0014742753159914669,0.19010245319870356,0.7727780074568463,,COMPLETE
4,0.6661270143651443,2026-08-17 00:44:19.721004,2026-08-17 00:44:40.074134,0 days 00:00:20.353130,0.8056937753654446,0.00048094619675015767,0.06097839109531514,5,58,0.02692646910086179,0.1238513729886093,0.6798695128633439,,COMPLETE
5,0.6666559219812629,2026-08-17 00:44:40.079294,2026-08-17 00:45:10.054138,0 days 00:00:29.974844,0.9233589392465844,0.005762487216478602,0.08889667907018929,3,24,0.054567254856014755,0.1567993391672301,0.9862528132298237,,COMPLETE
6,0.6662492747623623,2026-08-17 00:45:10.054138,2026-08-17 00:46:00.315173,0 days 00:00:50.261035,0.9637281608315128,0.012030178871154668,0.03127353036780371,3,21,0.0017654048052495078,2.113705944064573,0.6137554084460873,,COMPLETE
7,0.6676430455808104,2026-08-17 00:46:00.317177,2026-08-17 00:46:56.909471,0 days 00:00:56.592294,0.9100531293444458,0.48696409415208936,0.015305744365500184,6,167,0.024637685958997457,6.161049539380966,0.9878338511058234,,COMPLETE
8,0.6675069754955675,2026-08-17 00:46:56.910581,2026-08-17 00:48:28.292767,0 days 00:01:31.382186,0.7301321323053057,0.0026730883107816713,0.015703008378806716,3,31,0.20651425578959234,0.34889766548903667,0.6180909155642152,,COMPLETE
9,0.667158246520474,2026-08-17 00:48:28.308583,2026-08-17 00:49:09.038965,0 days 00:00:40.730382,0.9208787923016158,0.0006235377135673159,0.03488960745139221,4,12,0.12273800987852965,9.413993046829944,0.6563696899899051,,COMPLETE
10,0.6687075709931328,2026-08-17 00:49:09.040975,2026-08-17 00:50:24.124343,0 days 00:01:15.083368,0.6071847502459279,0.05753064281737116,0.010139048090380883,8,84,0.004466708652124707,0.6686376884813162,0.7621808662658559,,COMPLETE
11,0.6696733559909931,2026-08-17 00:50:24.124343,2026-08-17 00:51:09.893358,0 days 00:00:45.769015,0.604153251963001,0.06757663782408009,0.01016345616654694,8,82,0.00343461663274141,0.60813918025909,0.7602928366015387,,COMPLETE
12,0.6678563972452262,2026-08-17 00:51:09.893358,2026-08-17 00:51:46.594361,0 days 00:00:36.701003,0.6015938848649249,0.05096502392023172,0.022304641656947954,8,53,0.004636907849248719,0.5153196600116853,0.7604603292118234,,COMPLETE
13,0.6698931487412412,2026-08-17 00:51:46.594361,2026-08-17 00:52:19.548727,0 days 00:00:32.954366,0.6908556046603515,0.04290483321909339,0.010804032574636408,7,117,0.9941450502972566,0.9692886073687867,0.823659106715697,,COMPLETE
14,0.6690579145337416,2026-08-17 00:52:19.550732,2026-08-17 00:52:49.114274,0 days 00:00:29.563542,0.6705254181704832,0.07684530651136,0.010453752354883616,7,186,0.9069859253480155,0.9242405559307333,0.8444312693721183,,COMPLETE
15,0.6691874519265981,2026-08-17 00:52:49.116278,2026-08-17 00:53:12.512770,0 days 00:00:23.396492,0.6662225125541511,0.1508625542422028,0.0145017326061865,7,105,0.9406231272634172,1.3198921133213124,0.8755803337161692,,COMPLETE
16,0.6682046510113204,2026-08-17 00:53:12.514781,2026-08-17 00:53:33.624927,0 days 00:00:21.110146,0.6673680778475493,0.01924124927000735,0.012722339139795799,7,123,0.011052753159623384,3.9558139244875488,0.7075517271863704,,COMPLETE
17,0.6683271633265621,2026-08-17 00:53:33.626930,2026-08-17 00:53:45.080185,0 days 00:00:11.453255,0.7313119719798039,0.685696280013421,0.020862292999795532,8,86,0.17757838923988287,0.48205899373704114,0.8250051428101366,,COMPLETE
18,0.6677900454730354,2026-08-17 00:53:45.080185,2026-08-17 00:53:59.508306,0 days 00:00:14.428121,0.6379906811285984,0.022811287575472034,0.02201940623969139,7,36,0.37052407251502845,1.1449276720688022,0.9129381418297153,,COMPLETE
19,0.6676100156926608,2026-08-17 00:53:59.510317,2026-08-17 00:54:20.241312,0 days 00:00:20.730995,0.7730982444721965,0.1831974183571162,0.012050688688868732,6,76,0.00045654694049333713,2.0829202882001976,0.7120354073458769,,COMPLETE
20,0.6697179283049548,2026-08-17 00:54:20.243316,2026-08-17 00:54:38.408251,0 days 00:00:18.164935,0.6953476701328963,0.03392513394576353,0.018767308386671636,8,149,0.049420416189922066,0.7790619771688837,0.9298528902087922,,COMPLETE
21,0.6695133594189102,2026-08-17 00:54:38.408251,2026-08-17 00:54:54.935418,0 days 00:00:16.527167,0.7052284658289284,0.05411701980205709,0.01888079358180388,8,135,0.059892763540389325,0.7580051550576763,0.9272528100753763,,COMPLETE
22,0.6692028418276809,2026-08-17 00:54:54.935418,2026-08-17 00:55:55.702309,0 days 00:01:00.766891,0.6342202686932866,0.009415662550926972,0.016955372067111462,8,172,0.011024102660781132,0.4106486758182401,0.9394776541854739,,COMPLETE
23,0.6692061224873983,2026-08-17 00:55:55.702309,2026-08-17 00:56:12.510327,0 days 00:00:16.808018,0.6938429759003171,0.02864839838073271,0.012036853782739285,7,91,0.39087212591490966,1.0874415527678185,0.8446696758289376,,COMPLETE
24,0.667420063777399,2026-08-17 00:56:12.512331,2026-08-17 00:56:21.485747,0 days 00:00:08.973416,0.7601513789922525,0.1233384317905017,0.026808753636279187,8,142,0.08269404309535945,1.652522435833459,0.729395889213369,,COMPLETE
25,0.6694971049809736,2026-08-17 00:56:21.487750,2026-08-17 00:56:37.782580,0 days 00:00:16.294830,0.6391155652573115,0.9946126450457439,0.013352332940664343,7,69,0.030446192008451854,3.178165448957642,0.9559988931248398,,COMPLETE
26,0.669515260254907,2026-08-17 00:56:37.782580,2026-08-17 00:56:58.380160,0 days 00:00:20.597580,0.6807797412573566,0.032698335770946226,0.010943539726584484,8,105,0.009249526328599194,0.6813116186218341,0.8067044188954269,,COMPLETE
27,0.6683027101020365,2026-08-17 00:56:58.380160,2026-08-17 00:57:14.899761,0 days 00:00:16.519601,0.7586224072570952,0.004835373225944386,0.017409187314317346,6,200,0.4125027343477547,0.30342090365469904,0.8716844621710427,,COMPLETE
28,0.6667818409152338,2026-08-17 00:57:14.901764,2026-08-17 00:57:23.375683,0 days 00:00:08.473919,0.6356357801631066,0.29675276358511915,0.026916083159053215,7,40,0.0014677960018045753,0.5978263404411528,0.7795859526023396,,COMPLETE
29,0.6677848868789598,2026-08-17 00:57:23.375683,2026-08-17 00:57:39.900356,0 days 00:00:16.524673,0.8501663790572075,0.09297120197652652,0.013869135531988042,8,44,0.0036669193754443673,1.5859279889706717,0.8068230001522596,,COMPLETE
30,0.6672125348545762,2026-08-17 00:57:39.902359,2026-08-17 00:57:47.738459,0 days 00:00:07.836100,0.7452490250707723,0.011086279038058137,0.04069054157763422,7,143,0.00014824522730226883,0.903214391171894,0.738901395172228,,COMPLETE
31,0.6696841541135534,2026-08-17 00:57:47.738459,2026-08-17 00:58:07.876404,0 days 00:00:20.137945,0.6847658861810774,0.034170523805778306,0.010173459707741021,8,95,0.009675290304892118,0.73468014598268,0.7910569384276237,,COMPLETE
32,0.6694233788811808,2026-08-17 00:58:07.878148,2026-08-17 00:58:27.670892,0 days 00:00:19.792744,0.7021298798210808,0.03943203508652819,0.010175963961920179,8,103,0.015193674070559642,0.43392115433267275,0.8424638247669745,,COMPLETE
33,0.6689037178016131,2026-08-17 00:58:27.672896,2026-08-17 00:58:47.076015,0 days 00:00:19.403119,0.7849998359863547,0.2366167306352898,0.011291167751694515,8,109,0.0025290334840767483,0.8547895407206892,0.8915093425783368,,COMPLETE
34,0.6687597294748531,2026-08-17 00:58:47.076015,2026-08-17 00:59:06.938721,0 days 00:00:19.862706,0.6544479110528509,0.014299768419549821,0.013075435296068444,6,70,0.0005162232118612745,0.2788356967217795,0.7866874216013622,,COMPLETE
35,0.6685864556778407,2026-08-17 00:59:06.938721,2026-08-17 00:59:23.222588,0 days 00:00:16.283867,0.8162677862607134,0.07978213166307348,0.018747635150714384,7,155,0.006519064067602747,2.6719464093351983,0.8230018452106367,,COMPLETE
36,0.6686030021116685,2026-08-17 00:59:23.222588,2026-08-17 00:59:39.169490,0 days 00:00:15.946902,0.6145428552499884,0.020806310694657115,0.015535503991989892,8,119,0.0009420158668908846,1.3872869509510188,0.7462422564585628,,COMPLETE
37,0.6689755487908186,2026-08-17 00:59:39.171494,2026-08-17 00:59:59.523420,0 days 00:00:20.351926,0.7209048054416827,0.001539784392054552,0.011438795266036266,7,94,0.01988125748639214,0.5578511521928167,0.6847834421613738,,COMPLETE
38,0.6659663879980025,2026-08-17 00:59:59.525424,2026-08-17 01:00:04.128799,0 days 00:00:04.603375,0.6886001272198983,0.10352131168586037,0.06988750565188864,8,60,0.0002981672825052211,0.20234878801440423,0.9629311758565391,,COMPLETE
39,0.6677410531428399,2026-08-17 01:00:04.128799,2026-08-17 01:00:12.307332,0 days 00:00:08.178533,0.6524871392624081,0.00016938861390439861,0.024446007413185332,6,77,0.030856971679101005,0.3804359422780495,0.7908642908956014,,COMPLETE
40,0.6678152601770415,2026-08-17 01:00:12.307332,2026-08-17 01:00:27.692689,0 days 00:00:15.385357,0.717403718105952,0.005726193202099461,0.014490482375757303,8,122,0.04342043143342651,0.11483231937912797,0.9994563730237144,,COMPLETE
41,0.6693995210992567,2026-08-17 01:00:27.694693,2026-08-17 01:00:49.082346,0 days 00:00:21.387653,0.6818843360717816,0.03219132723876622,0.010023350836541944,8,103,0.007520096793676028,0.6654062634378367,0.8168575423173408,,COMPLETE
42,0.6694339079094884,2026-08-17 01:00:49.084091,2026-08-17 01:01:08.091948,0 days 00:00:19.007857,0.6214501551051779,0.038543222469289845,0.011468290655293525,8,65,0.002383393850090798,1.1097932998257893,0.8660462642733495,,COMPLETE
43,0.6692699550793522,2026-08-17 01:01:08.091948,2026-08-17 01:01:31.270347,0 days 00:00:23.178399,0.6813893426382743,0.007830161480226631,0.011136712427104872,8,158,0.008471003363749133,0.7111410911225547,0.8040127120543924,,COMPLETE
44,0.6691186725807247,2026-08-17 01:01:31.270347,2026-08-17 01:01:51.047491,0 days 00:00:19.777144,0.706887500507261,0.01842247128420901,0.012428239573441933,7,50,0.013787470638833376,0.8440971667800055,0.7655446718296584,,COMPLETE
45,0.668293641053184,2026-08-17 01:01:51.047491,2026-08-17 01:02:10.038049,0 days 00:00:18.990558,0.7354834318116791,0.05674173079611633,0.016362906589270605,5,80,0.0033445252193434073,0.585591380194215,0.9033402490131845,,COMPLETE
46,0.6695378298196648,2026-08-17 01:02:10.038049,2026-08-17 01:02:26.654099,0 days 00:00:16.616050,0.6720075942236731,0.032516064764555055,0.013503158813402938,8,10,0.0012065889941538291,0.34922086913097966,0.7500468575148328,,COMPLETE
47,0.6683306672772549,2026-08-17 01:02:26.654099,2026-08-17 01:02:43.010256,0 days 00:00:16.356157,0.662636073998579,0.003530971923706061,0.014069090568807952,7,10,0.0012501173680476258,0.14344593563113456,0.6602020121757292,,COMPLETE
48,0.668401129893559,2026-08-17 01:02:43.010256,2026-08-17 01:02:55.856185,0 days 00:00:12.845929,0.6178739084480673,0.07130984392471534,0.01797399963950274,8,18,0.0008138412055362111,0.2530492109364025,0.7213029234116394,,COMPLETE
49,0.6680126837518692,2026-08-17 01:02:55.858189,2026-08-17 01:03:13.949138,0 days 00:00:18.090949,0.6485366482882454,0.01460029479442696,0.015200259010553312,4,16,0.0019131407961576806,0.3441583572616611,0.7488379521415514,,COMPLETE
