characteristic,bin,count,count_pct,event_rate,woe,coefficient,points
fico,"(-inf, 664.50)",17234,0.0936152183123839,0.18562144597887897,-0.4054045275025677,-0.607309921616658,38
fico,"[664.50, 674.50)",34179,0.1856605864395363,0.16875859445858568,-0.28966948221141364,-0.607309921616658,40
fico,"[674.50, 689.50)",43162,0.234456310363184,0.15133682405819934,-0.15996607466652812,-0.607309921616658,42
fico,"[689.50, 699.50)",24086,0.13083533412278509,0.13003404467325416,0.016537304453184243,-0.607309921616658,45
fico,"[699.50, 714.50)",26796,0.14555607461405587,0.1109120764293178,0.197337872737108,-0.607309921616658,49
fico,"[714.50, 729.50)",16491,0.08957923669429747,0.08465223455217998,0.4966320824695889,-0.607309921616658,54
fico,"[729.50, 754.50)",12493,0.06786207046400208,0.06787801168654446,0.7356310701775057,-0.607309921616658,58
fico,"[754.50, inf)",9653,0.05243516898975523,0.04537449497565524,1.1622484833784452,-0.607309921616658,65
annual_inc,"(-inf, 27297.50)",10408,0.0565363346985779,0.21320138355111454,-0.5783853300114383,-0.47130056226636147,37
annual_inc,"[27297.50, 40466.27)",29735,0.1615207448368768,0.17635782747603834,-0.342899339126995,-0.47130056226636147,40
annual_inc,"[40466.27, 50003.50)",27332,0.14846763066694188,0.14905605151470802,-0.14209663528279481,-0.47130056226636147,43
annual_inc,"[50003.50, 62678.00)",28472,0.15466011928688606,0.1333590896319191,-0.012541172279152413,-0.47130056226636147,45
annual_inc,"[62678.00, 76334.50)",27628,0.15007550490510282,0.11763428405964962,0.13090561354296604,-0.47130056226636147,47
annual_inc,"[76334.50, 86345.50)",14579,0.07919323823698762,0.10624871390355992,0.2455243533529896,-0.47130056226636147,48
annual_inc,"[86345.50, 111145.50)",23264,0.12637022390735167,0.09448074277854196,0.3759920340838878,-0.47130056226636147,50
annual_inc,"[111145.50, inf)",22676,0.12317620346127522,0.0861704004233551,0.4771969078599363,-0.47130056226636147,52
total_bc_limit,"(-inf, 3475.00)",18343,0.09963931469792606,0.17892384015700813,-0.3604648477872201,-0.2493346542173748,43
total_bc_limit,"[3475.00, 8491.00)",41684,0.22642780318750202,0.1580462527588523,-0.21128312480051337,-0.2493346542173748,44
total_bc_limit,"[8491.00, 13065.00)",31788,0.17267265636033766,0.143230149742041,-0.09540392186603963,-0.2493346542173748,44
total_bc_limit,"[13065.00, 15802.50)",14282,0.07757993199126534,0.13114409746534098,0.006760115981498727,-0.2493346542173748,45
total_bc_limit,"[15802.50, 20645.00)",19148,0.10401208078481645,0.12262377271777732,0.08369450809433077,-0.2493346542173748,46
total_bc_limit,"[20645.00, 28457.00)",20543,0.11158973133290602,0.11381005695370686,0.16827994222848774,-0.2493346542173748,46
total_bc_limit,"[28457.00, 55858.00)",28320,0.15383445413756017,0.09396186440677966,0.38207191892216974,-0.2493346542173748,48
total_bc_limit,"[55858.00, inf)",9986,0.05424402750768629,0.06429000600841178,0.7937809250290147,-0.2493346542173748,51
avg_cur_bal,"(-inf, 2598.50)",43292,0.2351624713461601,0.16668206597061813,-0.27479343480589336,-0.386350277770303,42
avg_cur_bal,"[2598.50, 5280.50)",39881,0.2166338935543798,0.1492440009026855,-0.14357766796127103,-0.386350277770303,44
