,dev 2013-14,oot 2015,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
fico,0.0,0.0025053670076926266,0.007399516065518806,0.008030126928833066,0.004011823599153395,0.0048199456053655,0.01404512508268765,0.026300830064249422,0.043023580656015484,0.13331545034854997
annual_inc,0.0,0.0025644261325109647,0.015441925768159424,0.004159333099736349,0.004225007222316074,0.009242334888367974,0.01748861375357649,0.010323415348950489,0.005710537075354585,0.012987407330654939
total_bc_limit,0.0,0.005422258818713339,0.031357841500712344,0.00797740180955657,0.0026496234202972153,0.012717407966105338,0.04364736503935295,0.026148345700428073,0.023173744309004707,0.0609784749236213
avg_cur_bal,0.0,0.004409313370640996,0.0062227836583555185,0.002829836749604283,0.0019790859998394727,0.0036547349514504377,0.003685259838919922,0.0013368168085840359,0.001681487319359654,0.0038236914203062184
dti_with_loan,0.0,0.019333329645729334,0.04030372708368057,0.02895675436957745,0.00116539376541892,0.0026520931070031905,0.003040904696669273,0.003307267317572419,0.013024692937378273,0.04514838388983044
loan_to_income,0.0,0.0017560286742127236,0.002458348598825922,0.005196831752441387,0.024668410374138423,0.03901138592837712,0.025935162770191443,0.04592330362469162,0.04212172258772586,0.03541752353147453
home_ownership,0.0,0.0038070890814648067,0.009212564312316368,0.012643629991709981,0.013762316129925161,0.007492420101161483,0.006703904636774198,0.006174575547754092,0.008433687769744071,0.01581433639342504
percent_bc_gt_75,0.0,0.027727952967807053,0.05100659372474944,0.08599815653762495,0.07855615925624486,0.08466106858347913,0.09476187711738933,0.11980258395234543,0.15146283501881558,0.2966796112667913
mo_sin_rcnt_tl,0.0,0.0038726760426632052,0.012621622976081947,0.004137167754263778,0.006845261775033307,0.0076394764058710565,0.003630762614991934,0.0023419161990381556,0.002455514813254494,0.009110470695035698
mo_sin_old_rev_tl_op,0.0,0.012119408303648174,0.03504054317216406,0.04527089833021087,0.05806850884270334,0.05925517748467354,0.05729777600800215,0.0661450009967196,0.08292152947963388,0.08330384339118055
inq_intensity,0.0,0.030773152118813717,0.031301549517311685,0.04201230122457894,0.027564337797583,0.03494365966041447,0.054905524394530746,0.04957807278767766,0.051480027018839455,0.05304608828672039
