characteristic,share,method
fico,0.24969969137513628,max
total_bc_limit,0.20371551070946758,max
mo_sin_rcnt_tl,0.183063517584225,max
dti_with_loan,0.17952911607621372,max
avg_cur_bal,0.13361885753358838,max
inq_intensity,0.02779933839699876,max
loan_to_income,0.020596551532960028,max
mo_sin_old_rev_tl_op,0.0019034946683668754,max
annual_inc,4.1581194211897765e-05,max
percent_bc_gt_75,3.234092883147604e-05,max
mo_sin_rcnt_tl,0.12897100404723624,mean
fico,0.11261111419119957,mean
dti_with_loan,0.11200587680878195,mean
loan_to_income,0.11095710668810409,mean
percent_bc_gt_75,0.10780617619338027,mean
inq_intensity,0.09721221193472676,mean
total_bc_limit,0.08224760215113378,mean
avg_cur_bal,0.07703147234388572,mean
mo_sin_old_rev_tl_op,0.07440261684315573,mean
annual_inc,0.06806841492487664,mean
home_ownership,0.02868640387351925,mean
