applicant,score,rank,characteristic,points_awarded,points_available,points_typical,points_forgone,reason,method
54019,527,1,mo_sin_old_rev_tl_op,44,52,48.2,4.2,Length of time revolving accounts established,mean
54019,527,2,avg_cur_bal,46,57,47.8,1.8,Level of balances maintained across accounts,mean
54019,527,3,loan_to_income,46,52,47.4,1.4,Amount requested relative to income,mean
54019,527,4,total_bc_limit,47,59,47.8,0.8,Amount of credit available on revolving accounts,mean
12038,529,1,loan_to_income,43,52,47.4,4.4,Amount requested relative to income,mean
12038,529,2,percent_bc_gt_75,47,53,48.8,1.8,Proportion of revolving accounts near their limit,mean
12038,529,3,fico,44,71,45.3,1.3,Credit bureau score,mean
12038,529,4,annual_inc,47,52,47.8,0.8,Level of income stated on the application,mean
708,523,1,mo_sin_rcnt_tl,42,59,46.9,4.9,Time since most recent account was opened,mean
708,523,2,loan_to_income,43,52,47.4,4.4,Amount requested relative to income,mean
708,523,3,avg_cur_bal,46,57,47.8,1.8,Level of balances maintained across accounts,mean
708,523,4,dti_with_loan,43,57,44.7,1.7,Total debt obligations relative to income,mean
31134,525,1,mo_sin_rcnt_tl,42,59,46.9,4.9,Time since most recent account was opened,mean
31134,525,2,loan_to_income,43,52,47.4,4.4,Amount requested relative to income,mean
31134,525,3,avg_cur_bal,46,57,47.8,1.8,Level of balances maintained across accounts,mean
31134,525,4,home_ownership,48,51,48.8,0.8,Housing status,mean
38536,522,1,fico,42,71,45.3,3.3,Credit bureau score,mean
38536,522,2,annual_inc,46,52,47.8,1.8,Level of income stated on the application,mean
38536,522,3,percent_bc_gt_75,47,53,48.8,1.8,Proportion of revolving accounts near their limit,mean
38536,522,4,avg_cur_bal,46,57,47.8,1.8,Level of balances maintained across accounts,mean
38766,522,1,mo_sin_rcnt_tl,42,59,46.9,4.9,Time since most recent account was opened,mean
38766,522,2,fico,42,71,45.3,3.3,Credit bureau score,mean
38766,522,3,inq_intensity,45,52,47.8,2.8,Recent credit inquiries relative to accounts held,mean
38766,522,4,percent_bc_gt_75,47,53,48.8,1.8,Proportion of revolving accounts near their limit,mean
42155,513,1,dti_with_loan,39,57,44.7,5.7,Total debt obligations relative to income,mean
42155,513,2,loan_to_income,43,52,47.4,4.4,Amount requested relative to income,mean
42155,513,3,fico,42,71,45.3,3.3,Credit bureau score,mean
