band,n,bads,bad_rate,mean_pd,min_score,max_score,split,pop_pct
0,18531,4835,0.2609141438670336,0.26482584885725174,489.0,523.0,train,0.10066053211946072
1,19599,3893,0.19863258329506608,0.19948795667879168,524.0,530.0,train,0.10646191619498735
2,18503,3236,0.17489055828784522,0.1691619003260212,531.0,535.0,train,0.10050843590774278
3,20889,3093,0.1480683613385035,0.14633554560723602,536.0,540.0,train,0.11346920594913468
4,17160,2211,0.12884615384615383,0.12804274826916184,541.0,544.0,train,0.09321324975284366
5,16245,1884,0.11597414589104339,0.11336731622342235,545.0,548.0,train,0.08824296283420427
6,18290,1754,0.09589939857845817,0.09880076043612483,549.0,553.0,train,0.09935141829717427
7,19858,1637,0.08243529056299728,0.08219717433025643,554.0,560.0,train,0.10786880615337817
8,16689,1042,0.06243633531068368,0.06400696747734085,561.0,569.0,train,0.09065477419144567
9,18330,700,0.038188761593016915,0.040072372566944785,570.0,616.0,train,0.09956869859962846
0,8038,2052,0.2552873849216223,0.2637382689284219,492.0,523.0,test,0.10187837461025628
1,8485,1671,0.19693576900412493,0.19970476558076963,524.0,530.0,test,0.10754391746305356
2,7984,1336,0.16733466933867736,0.16910604719831793,531.0,535.0,test,0.10119394661461634
3,8923,1318,0.14770816989801636,0.14644151935862432,536.0,540.0,test,0.11309538898324419
4,7244,930,0.12838210933186084,0.12806680018687666,541.0,544.0,test,0.0918147481558468
5,6875,778,0.11316363636363637,0.11330070631306186,545.0,548.0,test,0.08713782351897387
6,7655,799,0.10437622468974526,0.09880679234969392,549.0,553.0,test,0.09702400567821745
7,8618,738,0.08563471803202599,0.08215365069117597,554.0,560.0,test,0.10922963826712971
8,7237,485,0.06701671963520796,0.06404989221016198,561.0,569.0,test,0.09172602600826384
9,7839,301,0.038397754815665264,0.04004370254906301,570.0,616.0,test,0.09935613070039798
0,28587,8115,0.2838702906915731,0.2649186937549766,487.0,523.0,oot,0.10100485467766213
1,29304,6723,0.22942260442260443,0.19951599653392402,524.0,530.0,oot,0.10353819083759089
2,27915,5511,0.19742074153680816,0.16916409185989126,531.0,535.0,oot,0.09863051451103433
3,31397,5388,0.17160875242857598,0.14634377584274105,536.0,540.0,oot,0.11093327114823373
4,25801,3865,0.1498003953335142,0.12804365974494578,541.0,544.0,oot,0.09116123607018436
5,24718,3178,0.12857027267578283,0.11336197408775411,545.0,548.0,oot,0.08733473249807439
6,28108,3201,0.11388216877757222,0.09883513678555636,549.0,553.0,oot,0.0993124306600807
7,30864,2981,0.09658501814411612,0.08216452824153567,554.0,560.0,oot,0.10905005193869115
8,26570,1965,0.07395558901016183,0.06399831579160377,561.0,569.0,oot,0.09387830093348315
9,29762,1205,0.0404878704388146,0.03981583918027311,570.0,616.0,oot,0.1051564167249652
