feature,mean_abs_shap
fico,0.23530126
dti_with_loan,0.14566481
mo_sin_rcnt_tl,0.116665415
annual_inc,0.1151078
addr_state,0.108624876
loan_to_income,0.08787268
purpose,0.08159033
inq_intensity,0.07786602
percent_bc_gt_75,0.072500445
total_bc_limit,0.068389386
mo_sin_old_rev_tl_op,0.06371116
num_actv_bc_tl,0.062641606
bc_limit_to_income,0.055093873
avg_cur_bal,0.054579653
home_ownership,0.050157413
pct_tl_nvr_dlq,0.047223
emp_length_num,0.04532269
credit_hist_months,0.042043127
verification_status,0.037314806
bal_to_bc_limit,0.036800135
revol_util,0.036183186
loan_amnt,0.03169964
revol_bal,0.030829
mths_since_last_delinq,0.026891517
inq_last_6mths,0.026442861
mort_acc,0.024799319
mths_since_last_record,0.0236134
acct_velocity,0.022199538
dti,0.019517109
total_acc,0.017379627
tot_cur_bal,0.016673837
delinq_2yrs,0.010079322
open_acc,0.008920449
tot_coll_amt,0.005215953
pub_rec_bankruptcies,0.0028567025
initial_list_status,0.002521191
pub_rec,0.0012233268
num_tl_90g_dpd_24m,0.00057467766
collections_12_mths_ex_med,0.00020993385
application_type,0.0
acc_now_delinq,0.0
