feature,vif
woe_total_bc_limit,4.478908446432991
woe_revol_bal,3.8115373652067155
woe_bal_to_bc_limit,3.374963732768898
woe_annual_inc,3.0244420553653755
woe_loan_amnt,2.7891196216059333
woe_revol_util,2.5958374499862145
woe_loan_to_income,2.594889067471167
woe_mort_acc,2.192492863893997
woe_avg_cur_bal,2.1607342750660465
woe_percent_bc_gt_75,1.9739999474745311
woe_home_ownership,1.9198247094495609
woe_fico,1.6598281140650097
woe_dti_with_loan,1.6420306124801949
woe_mo_sin_old_rev_tl_op,1.267202797746645
woe_mo_sin_rcnt_tl,1.1565643977885978
woe_inq_intensity,1.1047895427823524
